Date,price,zone
5/28/2024 16:00,-8.89292,SDGE
5/28/2024 16:00,-6.69196,VEA
5/28/2024 17:00,13.28845,PGAE
5/28/2024 17:00,-1.43009,SCE
5/28/2024 17:00,-0.61792,SDGE
5/28/2024 17:00,0.35274,VEA
5/28/2024 18:00,26.5547,PGAE
5/28/2024 18:00,27.50397,SCE
5/28/2024 18:00,28.22655,SDGE
5/28/2024 18:00,27.52957,VEA
5/28/2024 19:00,40.4829,PGAE
5/28/2024 19:00,40.0745,SCE
5/28/2024 19:00,41.11251,SDGE
5/28/2024 19:00,39.74345,VEA
5/28/2024 20:00,49.3657,PGAE
5/28/2024 20:00,48.28117,SCE
5/28/2024 20:00,49.97842,SDGE
5/28/2024 20:00,46.86085,VEA
5/28/2024 21:00,40.54082,PGAE
5/28/2024 21:00,40.72031,SCE
5/28/2024 21:00,42.05438,SDGE
5/28/2024 21:00,39.39421,VEA
5/28/2024 22:00,29.35418,PGAE
5/28/2024 22:00,29.31567,SCE
5/28/2024 22:00,35.21228,SDGE
5/28/2024 22:00,26.87067,VEA
5/28/2024 23:00,26.58363,PGAE
5/28/2024 23:00,26.81559,SCE
5/28/2024 23:00,27.44654,SDGE
